ID,collection_date,longitude,latitude,days_death
1603,2024-11-12,4005730.5230945,2964789.82289722,282
1628,2024-11-12,4013454.79398682,2970682.83783765,282
1679,2024-11-12,3993953.95026808,2983446.99792744,282
1806,2024-11-12,3986823.76984137,2975860.77941753,282
2432,2024-11-12,3982925.33611696,2983223.96405789,282
1578,2024-11-13,3979307.50331308,2930871.01546545,283
1613,2024-11-13,3981792.1156171,2972411.86425671,283
1726,2024-11-13,3987061.55062877,2955308.95095111,283
1968,2024-11-13,4020386.5822729,2958065.67418723,283
2127,2024-11-13,4018382.23078956,2927210.93347731,283
2338,2024-11-13,3991017.34041841,2947141.07411182,283
1592,2024-11-14,3999062.41116874,2920120.5458348,284
1938,2024-11-14,3984775.28062142,2939043.79489109,284
2032,2024-11-14,3986166.06510214,2940312.27359884,284
2108,2024-11-14,3978846.10292537,2969997.29580809,284
2358,2024-11-14,4014972.77015676,2976600.53847976,284
1751,2024-11-15,3981806.83260227,2945417.55038519,285
1759,2024-11-15,3978709.49556819,2970057.59816122,285
2102,2024-11-15,4011447.55030458,2935055.86678281,285
2399,2024-11-15,4023571.84141,2968491.32487616,285
1673,2024-11-16,4004318.23009057,2990467.50746041,286
2334,2024-11-16,3981294.04783535,2962453.0831526,286
1601,2024-11-17,3998098.40527898,2987646.03409788,287
1647,2024-11-17,4012391.41028194,2992913.10020128,287
1668,2024-11-17,3984694.49091382,2941943.20274419,287
1688,2024-11-17,4011749.63877589,2975591.34278014,287
1731,2024-11-17,4027410.79852008,2962333.7852156,287
2412,2024-11-17,3981400.8947377,2987053.61471596,287
2582,2024-11-17,4024281.90200618,2958331.30020565,287
2734,2024-11-17,3986338.41901772,2971092.78223366,287
1733,2024-11-18,4016904.04191773,2952152.31951202,288
1833,2024-11-18,3980986.43412344,2988009.14299612,288
1856,2024-11-18,4010545.99031268,2974963.16848605,288
2483,2024-11-18,4024407.15196034,2953752.57755337,288
2573,2024-11-18,3993818.30407855,2950171.40588822,288
1829,2024-11-19,3990030.03895658,2991936.25689204,289
1866,2024-11-19,3984653.66745461,2996980.74360099,289
2230,2024-11-19,3978587.6513328,2962910.33863289,289
1796,2024-11-20,4013793.31620838,2971265.10041011,290
1853,2024-11-20,4002005.05757297,2993499.58739385,290
1855,2024-11-20,4029377.62632515,2959628.98415803,290
1885,2024-11-20,3984410.52179566,2970283.79089721,290
1984,2024-11-20,4031885.39875922,2979117.76189508,290
2328,2024-11-20,3980838.67934593,2963147.32149282,290
2424,2024-11-20,4013132.94741895,2949399.85339605,290
1687,2024-11-21,3982043.51836492,2986418.4612205,291
1793,2024-11-21,3985444.34540366,2953471.31955534,291
1869,2024-11-21,3990702.74797867,2992254.598825,291
1900,2024-11-21,4007436.19844064,2985532.3833906,291
1917,2024-11-21,4021344.43691486,2948433.033453,291
1936,2024-11-21,4019650.92419314,2939779.74099574,291
1943,2024-11-21,4018222.60054162,2976213.09727455,291
2818,2024-11-21,3983416.50010189,2939236.62508218,291
1949,2024-11-22,4024893.58868374,2950172.65661492,292
2152,2024-11-22,3986022.90046621,2976678.82887173,292
2191,2024-11-22,4020336.19073872,2962585.00896851,292
2316,2024-11-22,3984543.12282939,2984565.19695728,292
2409,2024-11-22,3984023.65480222,2975061.38797592,292
2487,2024-11-22,3990931.09004249,2985766.71607041,292
2533,2024-11-22,3999708.1641699,2915622.74411901,292
2723,2024-11-22,3988549.5187566,2925659.4211089,292
2798,2024-11-22,3984835.48356871,2985997.38610014,292
1929,2024-11-23,4019648.63699066,2975694.30695157,293
1946,2024-11-23,4021247.35065108,2954411.24733632,293
1977,2024-11-23,3986108.99915668,2998928.08862246,293
2193,2024-11-23,3996124.06205325,2985459.71497365,293
2351,2024-11-23,4005827.97615205,2992009.67410482,293
3051,2024-11-23,4007150.5120371,2990090.88790695,293
1898,2024-11-24,4000456.23231058,2977689.51800792,294
2071,2024-11-24,4021944.3159066,2988357.7389957,294
2352,2024-11-24,4019693.35519316,2978034.58113578,294
1990,2024-11-25,3990362.24514326,2926473.80813754,295
2002,2024-11-25,3980896.49866854,2986737.33633708,295
2089,2024-11-25,3987988.56294547,2977552.61243248,295
2097,2024-11-25,4016327.89928808,2971054.04943377,295
2565,2024-11-25,4028240.02101092,2947414.90566377,295
2626,2024-11-25,4022163.30252028,2982001.91703388,295
2745,2024-11-25,3983117.33525409,2983260.59104246,295
2777,2024-11-25,3988419.17845523,2926755.40538273,295
2101,2024-11-26,4011098.26350004,2993601.57302729,296
2178,2024-11-26,4015230.84157158,2971996.52746369,296
2181,2024-11-26,3998675.798417,2933442.75771931,296
2214,2024-11-26,3981645.2486837,2969337.09293023,296
2304,2024-11-26,3990833.26859304,2946897.7048182,296
2786,2024-11-26,3981860.36047782,2974567.7541152,296
3099,2024-11-26,4017198.85960067,2977696.17263624,296
2130,2024-11-27,4002527.1013172,2931046.77812003,297
2159,2024-11-27,3985122.82521511,2989713.22315518,297
2514,2024-11-27,4024513.86842778,2950433.7443755,297
3118,2024-11-27,4000539.33847367,2991920.51827118,297
3156,2024-11-27,4023621.89904571,2979674.33415154,297
3219,2024-11-27,3990752.19533098,2947551.50761132,297
2124,2024-11-28,4014917.91540114,2980723.53230129,298
2151,2024-11-28,4015191.26082905,2987028.56553142,298
2202,2024-11-28,4017640.04360349,2978483.25501553,298
2218,2024-11-28,4019318.98507451,2973912.72807403,298
2225,2024-11-28,3982261.0126858,2942482.90795382,298
2354,2024-11-28,4004647.23999569,2962933.41556973,298
2139,2024-11-29,3982495.67800114,2944773.4447366,299
2143,2024-11-29,4001387.61103361,2916861.5191019,299
2240,2024-11-29,4022783.54696417,2980016.06893972,299
2253,2024-11-29,4022064.75937259,2959076.03334838,299
2279,2024-11-29,3981995.25154647,2983964.35315415,299
2325,2024-11-29,3982067.85314008,2976567.25034325,299
2520,2024-11-29,3989102.40348425,2950639.32244425,299
3086,2024-11-29,4028606.8351816,2960941.8843012,299
3218,2024-11-29,4016062.65738586,2973355.92004565,299
2239,2024-11-30,4028922.09493504,2978318.97515052,300
2284,2024-11-30,4018114.81153507,2951725.5468962,300
2290,2024-11-30,4002405.29386356,2992215.70321462,300
2398,2024-11-30,3996778.4286619,2980848.01401042,300
2646,2024-11-30,4014104.27422503,2990575.25587102,300
2763,2024-11-30,3993316.82742415,2987887.7168305,300
3300,2024-11-30,4021318.07240797,2962040.01593051,300
2297,2024-12-01,4023778.91630603,2931011.09895276,301
2303,2024-12-01,3996952.76797194,2918390.66546233,301
2310,2024-12-01,4023317.9809214,2981398.43245103,301
2699,2024-12-01,4016812.92593727,2973694.74403925,301
2765,2024-12-01,4000789.85413502,2995024.74886616,301
2984,2024-12-01,3982522.0555668,2970501.63627119,301
3468,2024-12-01,3997415.7419688,2985632.02959751,301
2260,2024-12-02,3971276.62693768,2999952.56795125,302
2278,2024-12-02,4014128.444362,2988832.75132081,302
2403,2024-12-02,4028514.46323668,2960943.70528089,302
2441,2024-12-02,3993086.7687782,2920576.3364661,302
